protein1	protein2	locs1	locs2	sizes	category
O15151	Q6UWP7	Nucleus	Endoplasmic reticulum,Membrane	1|2	oneMulti
P62837	Q9HCE7	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
O00629	Q05D32	Cytoplasm,Nucleus	none	2|1	oneMulti
A0A2R8Y422	Q04323	none	Cytoplasm	1|1	bothSingle
P51805	Q14563	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q8N9T8	Q9NY12	none	Nucleus	1|1	bothSingle
Q13616	Q92564	none	Nucleus	1|1	bothSingle
Q12888	Q9Y6H3	Centromere,Chromosome,Kinetochore,Nucleus	none	4|1	oneMulti
P54762	Q5TGI4	Cell membrane,Cell projection,Endosome,Membrane	Cytoplasm	4|1	oneMulti
Q5MJ10	Q7Z7F0	none	Cytoplasm,Nucleus	1|2	oneMulti
A6NLU0	Q6ZWI9	Cytoplasm,Nucleus	none	2|1	oneMulti
Q8NHP8	Q96K30	Lysosome	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
P27348	Q9UKM9	Cytoplasm	Nucleus,Spliceosome	1|2	oneMulti
P23229	P49746	Cell membrane,Membrane	none	2|1	oneMulti
P82675	Q12894	Mitochondrion	none	1|1	bothSingle
Q9H649	Q9P272	Mitochondrion	none	1|1	bothSingle
P57071	Q7L592	Nucleus	Mitochondrion	1|1	bothSingle
Q13007	Q8N6P7	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q12798	Q15672	Cell projection,Cytoplasm,Cytoskeleton	Nucleus	3|1	oneMulti
P13533	P19105	Cytoplasm,Thick filament	none	2|1	oneMulti
Q86YD7	Q8NHQ1	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
P45985	Q99759	Cytoplasm,Nucleus	none	2|1	oneMulti
P35326	Q5T754	Cytoplasmic vesicle,Secreted	none	2|1	oneMulti
Q13131	Q9Y478	Cytoplasm,Nucleus	none	2|1	oneMulti
Q07020	Q6NTE8	Cytoplasm,Endoplasmic reticulum	Nucleus	2|1	oneMulti
Q8N8Y2	Q99437	none	Cytoplasmic vesicle,Membrane	1|2	oneMulti
Q9NR12	Q9Y2A7	Cytoplasm,Cytoskeleton	Cell membrane,Cell projection,Membrane	2|3	bothMulti
O00743	Q9UIC8	Cytoplasm,Mitochondrion	none	2|1	oneMulti
P01106	Q02978	Cytoplasm,Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane	2|3	bothMulti
A0A1W2PPE2	Q8IZX4	none	Nucleus	1|1	bothSingle
P55039	Q9H446	Cytoplasm,Nucleus	none	2|1	oneMulti
P62837	Q8N9I9	none	Cytoplasm	1|1	bothSingle
Q7L1V2	Q9NP90	none	Cell membrane,Cytoplasmic vesicle,Membrane	1|3	oneMulti
P61088	Q9H9V4	Cytoplasm,Nucleus	Endoplasmic reticulum,Golgi apparatus,Membrane	2|3	bothMulti
Q8N0V4	Q9P0K1	Secreted	Cell membrane,Cell projection,Membrane	1|3	oneMulti
P61088	Q8ND25	Cytoplasm,Nucleus	Cytoplasmic vesicle,Endosome,Lysosome,Membrane,Synapse	2|5	bothMulti
Q6WBX8	Q9BQI6	none	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
P46734	Q9Y6R4	none	Cytoplasm	1|1	bothSingle
Q8WTV1	Q9NR55	none	Nucleus	1|1	bothSingle
P07225	Q12866	Secreted	Cell membrane,Membrane	1|2	oneMulti
P55899	P61769	Cell membrane,Endosome,Membrane	Amyloid,MHC I,Secreted	3|3	bothMulti
Q9C002	Q9Y2R0	Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
O95628	P62837	Cytoplasm,Nucleus	none	2|1	oneMulti
Q06190	Q08209	none	Cell membrane,Cell projection,Cytoplasm,Membrane,Synapse	1|5	oneMulti
Q5JSJ4	Q75QN2	none	Nucleus	1|1	bothSingle
P40939	P46937	Membrane,Mitochondrion,Mitochondrion inner membrane	Cell junction,Cytoplasm,Nucleus	3|3	bothMulti
Q6UXY8	Q96Q77	Membrane	none	1|1	bothSingle
Q86SE9	Q9HCM7	Nucleus	none	1|1	bothSingle
P43357	Q8N140	none	Chromosome,Cytoplasm,Nucleus,Telomere	1|4	oneMulti
P18124	Q9GZR7	Cytoplasm	none	1|1	bothSingle
P62256	Q9P0N8	none	Cell membrane,Cytoplasm,Endoplasmic reticulum,Endosome,Golgi apparatus,Lysosome,Membrane	1|7	oneMulti
O95251	Q92613	Centromere,Chromosome,Cytoplasm,Nucleus	none	4|1	oneMulti
P50897	Q63ZY6	Lysosome,Secreted	none	2|1	oneMulti
Q5TF39	Q7L8W6	Cell membrane,Membrane	none	2|1	oneMulti
P37287	Q8IYD8	Endoplasmic reticulum,Membrane	Nucleus	2|1	oneMulti
A0A0G2JNQ3	Q9UII2	none	Mitochondrion	1|1	bothSingle
Q8IU57	Q8IZJ0	Membrane	Secreted	1|1	bothSingle
Q96JJ6	Q9BZC1	Cell membrane,Endoplasmic reticulum,Membrane	Cytoplasm,Nucleus	3|2	bothMulti
Q86VQ3	Q9UF47	Cytoplasm	Membrane	1|1	bothSingle
Q14696	Q96IP4	Endoplasmic reticulum	Cytoplasm	1|1	bothSingle
O14802	Q8N461	Cytoplasm,DNA-directed RNA polymerase,Nucleus	none	3|1	oneMulti
P10109	Q9H082	Mitochondrion	Golgi apparatus,Membrane	1|2	oneMulti
Q13275	Q9HCM2	Secreted	Cell membrane,Membrane	1|2	oneMulti
O15444	P46092	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q15286	Q9BXI6	Cell membrane,Coated pit,Cytoplasmic vesicle,Endosome,Membrane	Cell projection	5|1	oneMulti
O14578	Q9HA64	Cytoplasm	none	1|1	bothSingle
O75431	P13378	Membrane,Mitochondrion,Mitochondrion outer membrane	Nucleus	3|1	oneMulti
P84157	Q02153	Membrane	Cytoplasm	1|1	bothSingle
Q96RY5	Q9Y2K6	Nucleus	Cytoplasm,Cytoskeleton,Endoplasmic reticulum	1|3	oneMulti
O00267	Q15056	Nucleus	Cytoplasm	1|1	bothSingle
Q8TBN0	Q96QF0	none	Cell projection,Cytoplasm,Cytoskeleton,Nucleus	1|4	oneMulti
Q96KN2	Q96KP4	Secreted	Cytoplasm	1|1	bothSingle
P54750	Q14123	none	Lysosome	1|1	bothSingle
P30556	Q8TD86	Cell membrane,Membrane	Cytoplasm,Nucleus	2|2	bothMulti
P59190	Q92696	Cell membrane,Membrane	none	2|1	oneMulti
A0A3B3IU46	Q8N5X7	Nucleus	none	1|1	bothSingle
P63104	Q04917	Cytoplasm	none	1|1	bothSingle
Q63ZY3	Q8TAP4	Cytoplasm,Mitochondrion	none	2|1	oneMulti
Q9UPS8	Q9UPV0	none	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
Q71UM5	Q8N118	none	Endoplasmic reticulum,Membrane,Microsome	1|3	oneMulti
Q6PD62	Q9UHC6	Nucleus	Cell junction,Cell projection,Membrane	1|3	oneMulti
P63267	Q01518	Cytoplasm,Cytoskeleton	Cell membrane,Membrane	2|2	bothMulti
Q8NEZ5	Q9Y312	Cytoplasm	Spliceosome	1|1	bothSingle
O14561	Q9H3Z4	Mitochondrion	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Membrane	1|4	oneMulti
Q8ND90	Q96BY2	Nucleus	Cytoplasm,Membrane,Mitochondrion,Mitochondrion outer membrane	1|4	oneMulti
P21860	Q92529	Cell membrane,Membrane,Secreted	none	3|1	oneMulti
P46778	Q15050	Cytoplasm,Endoplasmic reticulum	Nucleus	2|1	oneMulti
Q8N511	Q8N8Y2	Cytoplasmic vesicle,Endoplasmic reticulum,Membrane	none	3|1	oneMulti
Q8NB90	Q9BW66	Cytoplasm,Cytoskeleton,Mitochondrion	Nucleus	3|1	oneMulti
Q14562	Q8IXQ4	Nucleus,Spliceosome	none	2|1	oneMulti
P49840	Q9P0R6	none	Cytoplasm,Nucleus	1|2	oneMulti
Q13042	Q6W2J9	Cytoplasm,Cytoskeleton	Nucleus	2|1	oneMulti
Q96JS3	Q9BRR0	none	Cytoplasm,Nucleus	1|2	oneMulti
Q7Z4V5	Q9NVH1	Cytoplasm,Nucleus	Membrane,Mitochondrion,Mitochondrion outer membrane	2|3	bothMulti
Q9BQ48	Q9H3Z4	Mitochondrion	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Membrane	1|4	oneMulti
O14593	Q7Z736	Cytoplasm,Nucleus	none	2|1	oneMulti
A0A2R8Y422	Q9NV31	none	Nucleus	1|1	bothSingle
P35858	P42696	Secreted	Nucleus	1|1	bothSingle
Q13131	Q9UGI9	Cytoplasm,Nucleus	none	2|1	oneMulti
P07814	Q7L2J0	Cytoplasm,Membrane	Nucleus	2|1	oneMulti
