protein1	protein2	locs1	locs2	sizes	category
P51668	Q96EQ8	Cytoplasm	Golgi apparatus,Membrane	1|2	oneMulti
Q9H3H1	Q9UBS3	Cytoplasm,Mitochondrion	Endoplasmic reticulum	2|1	oneMulti
O60260	Q9Y2X8	Cell projection,Cytoplasm,Endoplasmic reticulum,Membrane,Mitochondrion,Mitochondrion outer membrane,Nucleus,Synapse	none	8|1	oneMulti
P40222	Q16623	none	Cell membrane,Cytoplasmic vesicle,Membrane,Secreted,Synapse,Synaptosome	1|6	oneMulti
P62424	Q8TD47	Cytoplasm	none	1|1	bothSingle
A0A2R8Y422	P25398	none	Cytoplasm,Nucleus	1|2	oneMulti
O15212	Q9UHV9	none	Cytoplasm,Mitochondrion,Nucleus	1|3	oneMulti
Q68DI1	Q96CB9	Nucleus	Mitochondrion	1|1	bothSingle
Q5QJE6	Q6DKK2	Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
O95757	P34931	Cytoplasm,Nucleus	none	2|1	oneMulti
P49798	P50148	none	Cell membrane,Golgi apparatus,Membrane,Nucleus	1|4	oneMulti
Q8NEK8	Q9Y6J0	none	Nucleus	1|1	bothSingle
P22612	Q9P0M2	none	Cytoplasm,Nucleus	1|2	oneMulti
P11234	Q3MIN7	Cell membrane,Membrane	none	2|1	oneMulti
P05386	Q9Y2L1	none	Cytoplasm,Exosome,Nucleus	1|3	oneMulti
P11686	Q96G97	Secreted,Surface film	Endoplasmic reticulum,Lipid droplet,Membrane	2|3	bothMulti
O00418	Q9NRX2	none	Mitochondrion	1|1	bothSingle
P32243	P53701	Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane	1|3	oneMulti
P49862	Q9UBC9	Secreted	Cytoplasm	1|1	bothSingle
Q5T0J7	Q9BQD3	none	Lysosome,Membrane	1|2	oneMulti
Q66K74	Q92611	Cytoplasm,Cytoskeleton,Microtubule,Nucleus	Endoplasmic reticulum,Membrane	4|2	bothMulti
Q6P3W2	Q9BQ48	Cytoplasm,Cytoskeleton	Mitochondrion	2|1	oneMulti
O75354	P54253	Cell membrane,Golgi apparatus,Membrane,Secreted	Cytoplasm,Nucleus	4|2	bothMulti
P01106	P40939	Cytoplasm,Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane	2|3	bothMulti
Q16650	Q8IWL3	Nucleus	Cytoplasm,Mitochondrion	1|2	oneMulti
Q9NP77	Q9ULW5	Cytoplasm,Nucleus	Cytoplasmic vesicle,Golgi apparatus,Membrane	2|3	bothMulti
P45974	P62979	none	Cytoplasm,Nucleus	1|2	oneMulti
P15814	Q9UKI3	Endoplasmic reticulum,Secreted	none	2|1	oneMulti
Q13042	Q9UPN9	Cytoplasm,Cytoskeleton	Nucleus	2|1	oneMulti
Q04917	Q96NE9	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q7Z3J3	Q9UBU9	none	Cytoplasm,Nuclear pore complex,Nucleus	1|3	oneMulti
Q92901	Q9BZE4	none	Nucleus	1|1	bothSingle
Q13308	Q8N474	Cell junction,Membrane	Secreted	2|1	oneMulti
Q969E8	Q9BXW4	none	Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Membrane,Microtubule	1|5	oneMulti
Q9H967	Q9NRZ9	none	Nucleus	1|1	bothSingle
P62736	Q8TCA0	Cytoplasm,Cytoskeleton	none	2|1	oneMulti
P15498	P21860	none	Cell membrane,Membrane,Secreted	1|3	oneMulti
P21796	Q13501	Cell membrane,Membrane,Mitochondrion,Mitochondrion outer membrane	Cytoplasm,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Lysosome,Nucleus	4|6	bothMulti
Q969T4	Q9P0P0	Cytoplasm,Nucleus	none	2|1	oneMulti
Q53GG5	Q5M775	Cytoplasm	Membrane,Nucleus	1|2	oneMulti
Q8N5M4	Q9NWB7	none	Cell projection,Cilium,Cytoplasm,Cytoskeleton	1|4	oneMulti
P79522	Q9Y3D3	none	Mitochondrion	1|1	bothSingle
Q9C0B7	Q9H6T3	Membrane	none	1|1	bothSingle
Q9BU89	Q9UMX2	none	Cytoplasm,Nucleus	1|2	oneMulti
Q7Z5U6	Q99680	none	Cell membrane,Membrane	1|2	oneMulti
Q6MZZ7	Q96L46	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q8NEF9	Q96P11	Cytoplasm	Nucleus	1|1	bothSingle
O75293	Q9H9A5	none	Cytoplasm,Nucleus	1|2	oneMulti
Q6ZSC3	Q8TDB6	none	Cytoplasm,Endosome,Lysosome,Membrane,Nucleus	1|5	oneMulti
A6NHC0	O14815	Cytoplasm,Golgi apparatus	none	2|1	oneMulti
Q68J44	Q96AT9	Cytoplasm,Nucleus	none	2|1	oneMulti
P60510	Q6ZMV5	Cytoplasm,Cytoskeleton,Nucleus	none	3|1	oneMulti
P19087	P49795	Cell projection	Membrane	1|1	bothSingle
O60293	Q9NZ42	Nucleus	Cell membrane,Endoplasmic reticulum,Golgi apparatus,Membrane	1|4	oneMulti
Q4V339	Q6ZRI6	Nucleus	none	1|1	bothSingle
Q6P5X5	Q9Y6H3	Secreted,Synapse	none	2|1	oneMulti
P42685	Q9NWQ8	Cytoplasm,Nucleus	Cell membrane,Membrane	2|2	bothMulti
P01137	P61073	Extracellular matrix,Secreted	Cell junction,Cell membrane,Endosome,Lysosome,Membrane	2|5	bothMulti
P54619	Q13131	none	Cytoplasm,Nucleus	1|2	oneMulti
P19429	Q8TD86	none	Cytoplasm,Nucleus	1|2	oneMulti
Q92619	Q9P107	Cell membrane,Cell projection,Cytoplasm,Membrane	none	4|1	oneMulti
Q6P3S6	Q86X27	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q6GMV2	Q96TC7	none	Cytoplasm,Cytoskeleton,Membrane,Microtubule,Mitochondrion,Mitochondrion outer membrane,Nucleus	1|7	oneMulti
P58557	P82912	Nucleus	Mitochondrion	1|1	bothSingle
A2PYH4	O60938	none	Extracellular matrix,Secreted	1|2	oneMulti
Q14166	Q9C0B5	Cytoplasm,Cytoskeleton,Nucleus	Cell membrane,Membrane,Synapse	3|3	bothMulti
P41743	Q5MJ08	Cytoplasm,Endosome,Membrane,Nucleus	none	4|1	oneMulti
P47224	Q99704	none	Cytoplasm,Nucleus	1|2	oneMulti
Q86VP3	Q9Y2I8	Endoplasmic reticulum,Mitochondrion	Cytoplasm,Nucleus	2|2	bothMulti
P62837	Q8WVD3	none	Chromosome	1|1	bothSingle
Q2I0M5	Q9BXB1	Secreted	Cell membrane,Membrane	1|2	oneMulti
P60002	Q49AR2	Nucleus	none	1|1	bothSingle
O76071	Q9H6Q4	Cytoplasm	none	1|1	bothSingle
Q8WWB3	Q96IM9	Cell projection,Cilium,Cytoplasm,Cytoskeleton,Flagellum	none	5|1	oneMulti
Q9BUA6	Q9Y623	none	Cytoplasm,Thick filament	1|2	oneMulti
P27338	Q14994	Membrane,Mitochondrion,Mitochondrion outer membrane	Cytoplasm,Cytoskeleton,Nucleus	3|3	bothMulti
Q5W0V3	Q96ED9	none	Cytoplasm,Cytoskeleton,Golgi apparatus,Microtubule	1|4	oneMulti
Q6P2H3	Q9NVH1	Cytoplasm,Cytoskeleton,Nucleus	Membrane,Mitochondrion,Mitochondrion outer membrane	3|3	bothMulti
Q96ES7	Q9BUH8	Nucleus	Cytoplasm,Membrane	1|2	oneMulti
P14598	P63151	Cytoplasm,Membrane	none	2|1	oneMulti
P10586	P14543	Membrane	Basement membrane,Extracellular matrix,Secreted	1|3	oneMulti
P49643	Q14181	Primosome	Nucleus	1|1	bothSingle
P25024	P80162	Cell membrane,Membrane	Secreted	2|1	oneMulti
P84098	Q8NHQ9	Cytoplasm	none	1|1	bothSingle
Q13501	Q7Z7M9	Cytoplasm,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Lysosome,Nucleus	Golgi apparatus,Membrane	6|2	bothMulti
P55040	Q12933	Cell membrane,Membrane	Cytoplasm	2|1	oneMulti
O15131	O60942	Cytoplasm	Nucleus	1|1	bothSingle
Q96BP3	Q9NW82	Nucleus,Spliceosome	none	2|1	oneMulti
P19237	Q6P5Q4	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
Q9NX40	Q9Y6C9	Endosome	Membrane,Mitochondrion,Mitochondrion outer membrane	1|3	oneMulti
Q13158	Q13546	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q05D32	Q86V81	none	Cytoplasm,Nucleus,Spliceosome	1|3	oneMulti
Q8N461	Q9P260	none	Endosome,Golgi apparatus	1|2	oneMulti
O00762	Q00534	none	Cell projection,Cytoplasm,Cytoskeleton,Nucleus	1|4	oneMulti
O43432	Q9BUB5	none	Cytoplasm,Nucleus	1|2	oneMulti
P43362	Q8WV22	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
O60500	P24855	Cell membrane,Membrane	Cytoplasmic vesicle,Nucleus,Secreted	2|3	bothMulti
A0A5S8K742	P48167	none	Cell membrane,Cell projection,Cytoplasm,Membrane,Postsynaptic cell membrane,Synapse	1|6	oneMulti
Q8WXH5	Q9BXM7	none	Cytoplasm,Membrane,Mitochondrion,Mitochondrion inner membrane,Mitochondrion outer membrane	1|5	oneMulti
Q5W0V3	Q9NUY8	none	Cytoplasmic vesicle,Golgi apparatus	1|2	oneMulti
Q96MV1	Q9UBS3	Membrane	Endoplasmic reticulum	1|1	bothSingle
A5PLN9	Q8WVT3	none	Nucleus	1|1	bothSingle
O43930	P31323	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P41221	Q9NPG1	Extracellular matrix,Secreted	Cell membrane,Membrane	2|2	bothMulti
P12830	P18621	Cell junction,Cell membrane,Endosome,Golgi apparatus,Membrane	Cytoplasm	5|1	oneMulti
Q68CZ1	Q96T37	Cell junction,Cell projection,Cilium,Cytoplasm,Cytoskeleton,Tight junction	Membrane,Nucleus	6|2	bothMulti
Q13838	Q96PV6	Cytoplasm,Nucleus,Spliceosome	none	3|1	oneMulti
P23526	Q9BV19	Cytoplasm,Endoplasmic reticulum,Nucleus	none	3|1	oneMulti
A6NMX2	Q9ULG1	none	Chromosome,Cytoplasm,Cytoskeleton,Microtubule,Nucleus	1|5	oneMulti
P29353	Q9Y316	Cell junction,Cytoplasm,Mitochondrion	none	3|1	oneMulti
O15455	O43187	Endoplasmic reticulum,Endosome,Membrane	none	3|1	oneMulti
Q12816	Q9NXX6	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
Q3SY69	Q7L804	Mitochondrion	Cell membrane,Cell projection,Endosome,Membrane	1|4	oneMulti
Q86WX3	Q9BQ48	Nucleus	Mitochondrion	1|1	bothSingle
Q9H6Z9	Q9HD45	Cytoplasm,Nucleus	Membrane	2|1	oneMulti
Q16543	Q9H093	Cytoplasm	none	1|1	bothSingle
O00322	P35247	Membrane	Extracellular matrix,Secreted,Surface film	1|3	oneMulti
P56182	Q92623	Nucleus	none	1|1	bothSingle
P51668	Q9ULK6	Cytoplasm	Membrane	1|1	bothSingle
Q3B7S5	Q6ICB0	Membrane	Cytoplasm,Nucleus	1|2	oneMulti
O75122	P49840	Cell membrane,Cell projection,Centromere,Chromosome,Cytoplasm,Cytoskeleton,Golgi apparatus,Kinetochore,Membrane,Microtubule	none	10|1	oneMulti
Q13557	Q9NZT1	Cell membrane,Membrane,Sarcoplasmic reticulum	none	3|1	oneMulti
Q13686	Q9UIC8	Mitochondrion,Nucleus	none	2|1	oneMulti
Q96AW1	Q96G27	Cytoplasmic vesicle,Endosome,Lysosome,Membrane	none	4|1	oneMulti
P22455	Q9ULV8	Cell membrane,Endoplasmic reticulum,Endosome,Membrane,Secreted	none	5|1	oneMulti
Q96L50	Q9Y575	Nucleus	none	1|1	bothSingle
Q01449	Q9UKX3	none	Cytoplasm,Thick filament	1|2	oneMulti
P01116	Q13576	Cell membrane,Cytoplasm,Membrane	none	3|1	oneMulti
Q9NWK9	Q9Y2X3	none	Nucleus	1|1	bothSingle
A6NFK2	P47755	Cell projection	none	1|1	bothSingle
Q86YC2	Q8IXB1	Nucleus	Endoplasmic reticulum	1|1	bothSingle
P07492	Q4J6C6	Cell projection,Cytoplasmic vesicle,Secreted	Cytoplasm,Cytoskeleton,Golgi apparatus,Nucleus	3|4	bothMulti
O14561	Q15800	Mitochondrion	Endoplasmic reticulum,Membrane	1|2	oneMulti
P48539	Q96GE6	none	Cell projection	1|1	bothSingle
P15498	Q8N720	none	Nucleus	1|1	bothSingle
P60006	Q9BS18	none	Nucleus	1|1	bothSingle
O43639	P37173	Cytoplasm,Endoplasmic reticulum	Cell membrane,Membrane,Secreted	2|3	bothMulti
Q13601	Q8TD47	Cytoplasm,Nucleus	none	2|1	oneMulti
Q2VWP7	Q9Y2D4	Membrane	none	1|1	bothSingle
P15374	Q15843	Cytoplasm	Nucleus	1|1	bothSingle
O95067	P24941	none	Cytoplasm,Cytoskeleton,Endosome,Nucleus	1|4	oneMulti
P57054	Q14442	Membrane	Cytoplasm	1|1	bothSingle
O43482	Q5JVL4	Centromere,Chromosome,Nucleus	Cell projection,Cytoplasm,Cytoskeleton	3|3	bothMulti
O75581	P56704	Cell membrane,Endoplasmic reticulum,Membrane	Extracellular matrix,Secreted	3|2	bothMulti
Q6DHV5	Q9UPM9	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
P80188	Q5H9R7	Cytoplasmic vesicle,Secreted	Cytoplasm,Nucleus	2|2	bothMulti
P31947	Q04917	Cytoplasm,Nucleus,Secreted	none	3|1	oneMulti
Q96KN7	Q9UGI9	Cell projection,Cilium	none	2|1	oneMulti
Q7Z6Z6	Q8WTS1	none	Cytoplasm,Lipid droplet	1|2	oneMulti
Q86YV9	Q9NQG7	Cytoplasm,Endoplasmic reticulum,Endosome,Lysosome,Membrane,Microsome	none	6|1	oneMulti
P10398	P31947	none	Cytoplasm,Nucleus,Secreted	1|3	oneMulti
P11047	Q9HCN8	Basement membrane,Extracellular matrix,Secreted	Endoplasmic reticulum	3|1	oneMulti
P27348	Q00537	Cytoplasm	none	1|1	bothSingle
Q66GS9	Q9NWH7	Cytoplasm,Cytoskeleton	Cell projection,Cilium,Flagellum,Secreted	2|4	bothMulti
Q5JVG2	Q6WRX3	Nucleus	none	1|1	bothSingle
A0A087WTH5	Q8N8J7	none	Membrane	1|1	bothSingle
Q13496	Q9NXD2	Cell membrane,Cell projection,Cytoplasm,Endosome,Membrane	none	5|1	oneMulti
O60938	Q8N1F8	Extracellular matrix,Secreted	Cytoplasm	2|1	oneMulti
Q92901	Q9BQ67	none	Chromosome,Nucleus	1|2	oneMulti
Q05048	Q9H0E2	Nucleus	Cytoplasm,Endosome	1|2	oneMulti
P01111	Q96FG2	Cell membrane,Golgi apparatus,Membrane	Cell projection,Cilium,Cytoplasm,Cytoskeleton	3|4	bothMulti
P07237	Q9Y6H1	Cell membrane,Endoplasmic reticulum,Membrane	Mitochondrion,Nucleus	3|2	bothMulti
P63027	Q9NUW8	Cell membrane,Cytoplasmic vesicle,Membrane,Synapse	Cytoplasm,Nucleus	4|2	bothMulti
P62701	Q13206	Cytoplasm,Nucleus	none	2|1	oneMulti
Q96GY3	Q9Y4I5	none	Cytoplasm,Nucleus	1|2	oneMulti
Q14201	Q9UIV1	none	Cytoplasm,Nucleus	1|2	oneMulti
O14578	Q9UIG0	Cytoplasm	Nucleus	1|1	bothSingle
O14950	Q8NEV4	none	Cell projection,Cytoplasm,Cytoskeleton	1|3	oneMulti
Q86UT8	Q9NX01	Cytoplasm,Cytoskeleton	Nucleus	2|1	oneMulti
O14607	Q93073	Nucleus	none	1|1	bothSingle
O94761	Q9H9J2	Cytoplasm,Nucleus	Mitochondrion	2|1	oneMulti
P21246	Q12873	Secreted	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
Q9BVV7	Q9H6Z9	Membrane,Mitochondrion	Cytoplasm,Nucleus	2|2	bothMulti
Q13188	Q9H2L5	Cytoplasm,Cytoskeleton,Nucleus	none	3|1	oneMulti
Q13342	Q9H930	Cytoplasm,Nucleus	none	2|1	oneMulti
Q06141	Q5T870	Secreted	none	1|1	bothSingle
Q8WV22	Q96M61	Chromosome,Nucleus,Telomere	Cytoplasm	3|1	oneMulti
Q15119	Q8NEF9	Mitochondrion	Cytoplasm	1|1	bothSingle
Q8IY63	Q9GZV5	Cell junction,Tight junction	Cell membrane,Cytoplasm,Membrane,Nucleus	2|4	bothMulti
Q6NSW7	Q86V86	Nucleus	Cytoplasm	1|1	bothSingle
Q969Q0	Q9NVU7	Cytoplasm	Nucleus	1|1	bothSingle
P0DKL9	Q15047	none	Chromosome,Cytoplasm,Nucleus	1|3	oneMulti
P29353	P54762	Cell junction,Cytoplasm,Mitochondrion	Cell membrane,Cell projection,Endosome,Membrane	3|4	bothMulti
P78413	Q8NDI1	Nucleus	Cytoplasm,Endosome,Membrane	1|3	oneMulti
Q14008	Q14C86	Centromere,Chromosome,Cytoplasm,Cytoskeleton,Kinetochore	Endosome,Membrane	5|2	bothMulti
O75051	O95428	Cell membrane,Membrane	Secreted	2|1	oneMulti
Q2WEN9	Q9H3S3	Secreted	Cell membrane,Membrane	1|2	oneMulti
Q16637	Q96EN9	Cell projection,Cytoplasm,Nucleus	none	3|1	oneMulti
Q8N957	Q96M69	none	Cell projection,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton	1|4	oneMulti
Q08334	Q16552	Membrane	Secreted	1|1	bothSingle
O75808	P33151	none	Cell junction,Cell membrane,Membrane	1|3	oneMulti
O15539	P19087	Cytoplasm,Membrane	Cell projection	2|1	oneMulti
Q13163	Q16539	none	Cytoplasm,Nucleus	1|2	oneMulti
P55273	Q9BRT2	Cytoplasm,Nucleus	Membrane,Mitochondrion,Mitochondrion inner membrane,Mitochondrion nucleoid	2|4	bothMulti
Q71UM5	Q99613	none	Cytoplasm	1|1	bothSingle
A2A368	Q9NXX6	none	Chromosome,Nucleus,Telomere	1|3	oneMulti
O95631	Q8IZJ1	Cytoplasm,Secreted	Cell membrane,Membrane	2|2	bothMulti
O60504	Q8N4B1	Cell junction,Cytoplasm,Cytoskeleton,Nucleus	Cytoplasmic vesicle,Endosome,Golgi apparatus	4|3	bothMulti
Q15035	Q9UBC1	Membrane	Nucleus	1|1	bothSingle
Q16832	Q9H792	Cell membrane,Membrane	Cell junction,Cytoplasm,Cytoskeleton	2|3	bothMulti
P10398	Q02750	none	Cytoplasm,Cytoskeleton,Membrane,Nucleus	1|4	oneMulti
O75356	Q9HBL0	Endoplasmic reticulum,Secreted	Cell junction,Cytoplasm,Cytoskeleton	2|3	bothMulti
P49642	Q5TBB1	DNA-directed RNA polymerase,Primosome	Nucleus	2|1	oneMulti
Q9H6Y5	Q9UJX4	none	Cytoplasm,Cytoskeleton,Nucleus	1|3	oneMulti
P21281	Q8N573	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Membrane,Synapse	Mitochondrion	5|1	oneMulti
P52951	Q86V86	Nucleus	Cytoplasm	1|1	bothSingle
Q00722	Q01970	none	Cytoplasm,Membrane,Nucleus	1|3	oneMulti
Q7Z699	Q9Y575	Cell membrane,Membrane,Nucleus	none	3|1	oneMulti
O95067	Q9BPX3	none	Chromosome,Cytoplasm,Nucleus	1|3	oneMulti
P51965	Q96FW1	Nucleus	Cytoplasm	1|1	bothSingle
P59190	Q8IV04	Cell membrane,Membrane	none	2|1	oneMulti
Q96MX6	Q9H6T3	Cytoplasm	none	1|1	bothSingle
O43295	O60341	none	Nucleus	1|1	bothSingle
O43676	P33552	Membrane,Mitochondrion,Mitochondrion inner membrane	none	3|1	oneMulti
Q07973	Q9NR83	Mitochondrion	Cytoplasm,Nucleus	1|2	oneMulti
Q07889	Q9UQC2	none	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
Q9ULW3	Q9UN86	Nucleus	Cytoplasm	1|1	bothSingle
Q96Q07	Q9UNN5	none	Nucleus	1|1	bothSingle
P23588	P62258	none	Cytoplasm,Nucleus	1|2	oneMulti
O00206	Q9BQ95	Cell membrane,Cell projection,Endosome,Membrane	Cytoplasm,Mitochondrion,Nucleus	4|3	bothMulti
Q9BRP8	Q9H8S9	Cytoplasm,Nucleus	none	2|1	oneMulti
O00193	Q86UY6	none	Cytoplasm,Nucleus	1|2	oneMulti
O60260	P62256	Cell projection,Cytoplasm,Endoplasmic reticulum,Membrane,Mitochondrion,Mitochondrion outer membrane,Nucleus,Synapse	none	8|1	oneMulti
Q96B02	Q96FW1	Nucleus	Cytoplasm	1|1	bothSingle
P36888	Q9NUJ7	Endoplasmic reticulum,Membrane	Cytoplasm	2|1	oneMulti
A0A1W2PRV1	Q12962	none	Nucleus	1|1	bothSingle
Q6QNY1	Q8TDH9	Cytoplasm,Cytoskeleton,Lysosome,Membrane	none	4|1	oneMulti
P20151	P29622	none	Secreted	1|1	bothSingle
Q9H4E5	Q9NZM3	Cell membrane,Membrane	Cytoplasm	2|1	oneMulti
Q86XW9	Q9H1X3	Cell projection,Cytoplasm,Cytoskeleton	Membrane	3|1	oneMulti
Q8IYI6	Q96KP1	Cell projection,Cytoplasm	none	2|1	oneMulti
Q15173	Q9H246	Cytoplasm	none	1|1	bothSingle
Q8N6Y1	Q9NWT1	Cell membrane,Membrane	Nucleus	2|1	oneMulti
O95390	Q2VWP7	Secreted	Membrane	1|1	bothSingle
Q0VAM2	Q9NR12	Endosome	Cytoplasm,Cytoskeleton	1|2	oneMulti
Q8N587	Q96M69	Nucleus	Cell projection,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton	1|4	oneMulti
O95881	P30041	Endoplasmic reticulum	Cytoplasm,Lysosome	1|2	oneMulti
P61236	Q96IG2	Nucleus	Cytoplasm	1|1	bothSingle
P53621	Q9ULT8	Cytoplasm,Cytoplasmic vesicle,Golgi apparatus,Membrane,Secreted	none	5|1	oneMulti
O96013	Q6NXS1	Cytoplasm	none	1|1	bothSingle
Q99426	Q9HB40	Cytoplasm,Cytoskeleton,Microtubule	Secreted	3|1	oneMulti
P62837	Q13191	none	Cytoplasm	1|1	bothSingle
Q14145	Q53G59	Cytoplasm,Nucleus	Cytoplasmic vesicle	2|1	oneMulti
Q08257	Q8N4Q0	Cytoplasm	Peroxisome	1|1	bothSingle
P46092	Q9NRJ3	Cell membrane,Membrane	Secreted	2|1	oneMulti
O95881	P21964	Endoplasmic reticulum	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P51668	Q96EP1	Cytoplasm	Nucleus	1|1	bothSingle
O75792	Q5SZD1	Nucleus	none	1|1	bothSingle
O60447	Q96BZ8	Cytoplasm,Cytoskeleton,Nucleus	none	3|1	oneMulti
O15355	Q8N5M4	Cytoplasm,Membrane	none	2|1	oneMulti
Q8WWL2	Q9Y4I1	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Cytoskeleton,Membrane	none	5|1	oneMulti
P10599	P33552	Cytoplasm,Nucleus,Secreted	none	3|1	oneMulti
O43567	P62837	Endoplasmic reticulum,Endosome,Lysosome,Membrane,Nucleus	none	5|1	oneMulti
Q2Y0W8	Q9BZI7	Cell membrane,Cytoplasmic vesicle,Membrane,Synapse	Cytoplasm,Nucleus	4|2	bothMulti
Q05516	Q8WY64	Nucleus	Cell membrane,Cytoplasm,Membrane	1|3	oneMulti
P63208	Q9UKB1	none	Cytoplasm,Nucleus	1|2	oneMulti
Q9NWU5	Q9UKD2	Mitochondrion	Cytoplasm,Nucleus	1|2	oneMulti
Q9BWX1	Q9Y2X8	Nucleus	none	1|1	bothSingle
Q504Y2	Q6UVK1	Golgi apparatus,Secreted	Cell membrane,Cell projection,Membrane	2|3	bothMulti
Q6UWB1	Q92990	Membrane	none	1|1	bothSingle
O43395	Q6ZUT1	Nucleus,Spliceosome	none	2|1	oneMulti
P84098	Q96HY6	Cytoplasm	Endoplasmic reticulum,Membrane	1|2	oneMulti
O15228	Q6NX49	Membrane,Peroxisome	Nucleus	2|1	oneMulti
P62888	Q8IY57	Cytoplasm	Nucleus	1|1	bothSingle
P05198	Q2VIR3	Cytoplasm	none	1|1	bothSingle
Q8IWL3	Q9Y2Q3	Cytoplasm,Mitochondrion	Peroxisome	2|1	oneMulti
P18075	Q5JR59	Secreted	Cytoplasm,Cytoskeleton,Microtubule	1|3	oneMulti
P43146	P49770	Membrane	Cytoplasm	1|1	bothSingle
P01591	P40259	Secreted	Cell membrane,Membrane	1|2	oneMulti
P21281	Q96A05	Cell membrane,Cytoplasm,Cytoplasmic vesicle,Membrane,Synapse	none	5|1	oneMulti
Q32NC0	Q6NW34	none	Nucleus	1|1	bothSingle
P51668	Q99942	Cytoplasm	Cell membrane,Endoplasmic reticulum,Membrane,Mitochondrion	1|4	oneMulti
P48506	Q15059	none	Chromosome,Nucleus	1|2	oneMulti
Q16552	Q99572	Secreted	Cell membrane,Membrane	1|2	oneMulti
P61586	Q52LW3	Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Membrane,Nucleus	none	6|1	oneMulti
O43166	O60704	Cytoplasm,Cytoskeleton,Synapse,Synaptosome	Golgi apparatus,Membrane	4|2	bothMulti
O00634	O95185	Extracellular matrix,Secreted	Cell membrane,Cell projection,Membrane,Synapse,Synaptosome	2|5	bothMulti
Q96F15	Q9NUV9	Endosome,Lysosome,Membrane	Cytoplasm	3|1	oneMulti
Q96IG2	Q96NS1	Cytoplasm	Nucleus	1|1	bothSingle
P22102	Q13501	none	Cytoplasm,Cytoplasmic vesicle,Endoplasmic reticulum,Endosome,Lysosome,Nucleus	1|6	oneMulti
Q9UHD1	Q9Y2Z0	none	Cytoplasm,Nucleus	1|2	oneMulti
P12829	Q13459	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
P49674	Q14C86	Cytoplasm,Nucleus	Endosome,Membrane	2|2	bothMulti
Q07890	Q96RT1	none	Cell junction,Cell membrane,Membrane,Nucleus	1|4	oneMulti
Q8WUD4	Q99459	none	Cytoplasm,Nucleus,Spliceosome	1|3	oneMulti
P62256	Q8N9I9	none	Cytoplasm	1|1	bothSingle
Q9P2J9	Q9UQ88	Mitochondrion	Cytoplasm,Nucleus	1|2	oneMulti
A0A1B0GUL7	P04049	none	Cell membrane,Cytoplasm,Membrane,Mitochondrion,Nucleus	1|5	oneMulti
O75044	Q04917	Cell membrane,Cell projection,Cytoplasm,Cytoplasmic vesicle,Membrane,Nucleus,Postsynaptic cell membrane,Synapse	none	8|1	oneMulti
P05141	Q13233	Membrane,Mitochondrion,Mitochondrion inner membrane	none	3|1	oneMulti
Q8N5H3	Q8NHZ8	Cell projection,Cytoplasm	Nucleus	2|1	oneMulti
P16410	Q16552	Cell membrane,Membrane	Secreted	2|1	oneMulti
O95631	Q6UXZ4	Cytoplasm,Secreted	Cell membrane,Membrane	2|2	bothMulti
P61927	Q86XD8	Cytoplasm	none	1|1	bothSingle
O60361	Q13232	none	Cell projection,Cytoplasm,Cytoskeleton,Membrane,Mitochondrion,Mitochondrion outer membrane	1|6	oneMulti
Q6NSZ9	Q96JS3	Nucleus	none	1|1	bothSingle
P30405	P51580	Mitochondrion	Cytoplasm	1|1	bothSingle
P10636	Q8IVB5	Cell membrane,Cell projection,Cytoplasm,Cytoskeleton,Membrane,Microtubule,Secreted	none	7|1	oneMulti
P30531	Q07092	Cell membrane,Cell projection,Membrane,Synapse	Extracellular matrix,Secreted	4|2	bothMulti
P55854	P60520	Cytoplasm,Nucleus	Cytoplasmic vesicle,Endoplasmic reticulum,Golgi apparatus,Membrane	2|4	bothMulti
Q9P2G9	Q9UJP4	none	Cytoplasm,Cytoskeleton	1|2	oneMulti
P62837	Q5M7Z0	none	Endoplasmic reticulum,Membrane	1|2	oneMulti
O00221	Q04864	Cytoplasm	Nucleus	1|1	bothSingle
